Assembly Accession size
GCF_000006175.1_ASM617v2_ NC_014222 1936387
GCF_000006625.1_ASM662v1_ NC_002162 751719
GCF_000006645.1_ASM664v1_ NC_004088 4600755
GCF_000006685.1_ASM668v1_ NC_002620 1072950
GCF_000006745.1_ASM674v1_ NC_002505 2961149
GCF_000006745.1_ASM674v1_ NC_002506 1072315
GCF_000006785.2_ASM678v2_ NC_002737 1852433
GCF_000006805.1_ASM680v1_ NC_002607 2014239
GCF_000006825.1_ASM682v1_ NC_002663 2257487
GCF_000006845.1_ASM684v1_ NC_002946 2153922
GCF_000006865.1_ASM686v1_ NC_002662 2365589
GCF_000006885.1_ASM688v1_ NC_003028 2160842
GCF_000006905.1_ASM690v1_ NC_002696 4016947
GCF_000006925.2_ASM692v2_ NC_004337 4607202
GCF_000006965.1_ASM696v1_ NC_003047 3654135
GCF_000006985.1_ASM698v1_ NC_002932 2154946
GCF_000007005.1_ASM700v1_ NC_002754 2992245
GCF_000007025.1_ASM702v1_ NC_003103 1268755
GCF_000007045.1_ASM704v1_ NC_003098 2038615
GCF_000007085.1_ASM708v1_ NC_003869 2689445
GCF_000007105.1_ASM710v1_ NC_006526 2056363
GCF_000007125.1_ASM712v1_ NC_003317 2117144
GCF_000007125.1_ASM712v1_ NC_003318 1177787
GCF_000007165.1_ASM716v1_ NC_003919 5175554
GCF_000007205.1_ASM720v1_ NC_005043 1225935
GCF_000007265.1_ASM726v1_ NC_004116 2160267
GCF_000007285.1_ASM728v1_ NC_003485 1895017
GCF_000007305.1_ASM730v1_ NC_003413 1908256
GCF_000007325.1_ASM732v1_ NC_003454 2174500
GCF_000007365.1_ASM736v1_ NC_004061 641454
GCF_000007425.1_ASM742v1_ NC_004070 1900521
GCF_000007445.1_ASM744v1_ NC_004431 5231428
GCF_000007465.2_ASM746v2_ NC_004350 2032925
GCF_000007505.1_ASM750v1_ NC_004310 2107794
GCF_000007505.1_ASM750v1_ NC_004311 1207381
GCF_000007525.1_ASM752v1_ NC_004307 2256640
GCF_000007565.2_ASM756v2_ NC_002947 6181873
GCF_000007585.1_ASM758v1_ NC_002950 2343476
GCF_000007645.1_ASM764v1_ NC_004461 2499279
GCF_000007665.1_ASM766v1_ NC_006087 2584158
GCF_000007725.1_ASM772v1_ NC_004545 615980
GCF_000007745.1_ASM774v1_ NC_006300 2314078
GCF_000007785.1_ASM778v1_ NC_004668 3218031
GCF_000007805.1_ASM780v1_ NC_004578 6397126
GCF_000007885.1_ASM788v1_ NC_005810 4595065
GCF_000007905.1_ASM790v1_ NC_004917 1799146
GCF_000007925.1_ASM792v1_ NC_005042 1751080
GCF_000007945.1_ASM794v1_ NC_002940 1698955
GCF_000008025.1_ASM802v1_ NC_002978 1267782
GCF_000008045.1_ASM804v1_ NC_006142 1111496
GCF_000008065.1_ASM806v1_ NC_005362 1992676
GCF_000008125.1_ASM812v1_ NC_005835 1894877
GCF_000008185.1_ASM818v1_ NC_002967 2843201
GCF_000008205.1_ASM820v1_ NC_007295 897405
GCF_000008225.1_ASM822v1_ NC_007332 920079
GCF_000008245.1_ASM824v1_ NC_007294 799476
GCF_000008305.1_ASM830v1_ NC_006055 793224
GCF_000008325.1_ASM832v1_ NC_002977 3304561
GCF_000008345.1_ASM834v1_ NC_006085 2560265
GCF_000008365.1_ASM836v1_ NC_006908 777079
GCF_000008385.1_ASM838v1_ NC_006833 1080084
