Gene,Sample,Protein accession,e.value,Score,NCBI.ID,Alignment length,Percent alignment
ClassA,Bacterial genome,ZA10_RS06170,2.5e-74,257.8,NC_013355,273,0.928571428571429
adeB,Bacterial genome,ZA10_RS04840,0,1297.9,NC_013355,1041,1.00579710144928
adeB,Bacterial genome,Z042_RS21630,0,1492,NZ_CP007044,1036,1.00096618357488
ClassA,Bacterial genome,Z042_RS16420,1.1e-108,370.6,NZ_CP007044,279,0.948979591836735
adeB,Bacterial genome,Z042_RS11245,0,1457.5,NZ_CP007044,1037,1.00193236714976
qnr,Bacterial genome,Z042_RS07125,3.7e-90,309,NZ_CP007044,211,0.967889908256881
adeB,Bacterial genome,YSA_RS27135,0,1431.5,NC_017986,1022,0.98743961352657
adeB,Bacterial genome,YSA_RS27020,0,1031.7,NC_017986,1044,1.00869565217391
mexE,Bacterial genome,YSA_RS27015,1.1e-193,651.7,NC_017986,412,0.995169082125604
ClassC,Bacterial genome,YSA_RS24080,1.8e-144,488.9,NC_017986,370,0.961038961038961
tolC,Bacterial genome,YSA_RS09435,3.8e-93,320.5,NC_017986,425,0.968109339407745
adeB,Bacterial genome,YSA_RS06940,0,1430.1,NC_017986,1032,0.997101449275362
tolC,Bacterial genome,YSA_RS01010,6.3e-84,290.1,NC_017986,427,0.972665148063781
tolC,Bacterial genome,YPTS_RS17830,2.4e-163,551.8,NC_010634,439,1
adeB,Bacterial genome,YPTS_RS14460,0,1459.2,NC_010634,1029,0.994202898550725
adeB,Bacterial genome,YPTS_RS05310,0,1478.3,NC_010634,1038,1.00289855072464
adeB,Bacterial genome,YPTS_RS02725,0,1348.8,NC_010634,1032,0.997101449275362
tolC,Bacterial genome,YPTB_RS18375,2.4e-163,551.8,NC_006155,439,1
adeB,Bacterial genome,YPTB_RS14985,0,1459.2,NC_006155,1029,0.994202898550725
adeB,Bacterial genome,YPTB_RS05435,0,1478.3,NC_006155,1038,1.00289855072464
adeB,Bacterial genome,YPTB_RS02810,0,1350,NC_006155,1032,0.997101449275362
adeB,Bacterial genome,YPN_RS07135,0,1456.5,NC_008149,1029,0.994202898550725
adeB,Bacterial genome,YPN_RS05130,0,1474.8,NC_008149,1038,1.00289855072464
adeB,Bacterial genome,YPN_RS03295,0,1347.7,NC_008149,1032,0.997101449275362
tolC,Bacterial genome,YPN_RS02885,2.8e-163,551.7,NC_008149,439,1
adeB,Bacterial genome,YPK_RS18700,0,1348.1,NC_010465,1032,0.997101449275362
adeB,Bacterial genome,YPK_RS16070,0,1476.3,NC_010465,1038,1.00289855072464
adeB,Bacterial genome,YPK_RS06950,0,1459.2,NC_010465,1029,0.994202898550725
tolC,Bacterial genome,YPK_RS03305,2.4e-163,551.8,NC_010465,439,1
tolC,Bacterial genome,YPA_RS16290,2.8e-163,551.7,NC_008150,439,1
adeB,Bacterial genome,YPA_RS15550,0,1347.7,NC_008150,1032,0.997101449275362
adeB,Bacterial genome,YPA_RS13700,0,1474.8,NC_008150,1038,1.00289855072464
adeB,Bacterial genome,YPA_RS11660,0,1456.5,NC_008150,1029,0.994202898550725
ClassA,Plasmid,YP_007688776.1,2.3e-111,375.2,NC_020893.1,284,0.965986394557823
ClassA,Plasmid,YP_007688769.1,1.4e-122,412,NC_020893.1,284,0.965986394557823
repA,Plasmid,YP_007688708.1,1.5e-100,338.8,NC_020893.1,230,0.96234309623431
ClassB,Bacterial genome,YBT1518_RS18460,4.4e-79,273.4,NC_022873,256,0.96969696969697
tetQ,Bacterial genome,YBT1518_RS16505,5.4e-130,442.4,NC_022873,622,0.946727549467275
ClassA,Bacterial genome,YBT1518_RS13960,6.1e-103,351.7,NC_022873,269,0.914965986394558
tetA,Bacterial genome,YBT1518_RS13420,2e-94,324.4,NC_022873,393,0.967980295566502
CAT,Bacterial genome,YBT1518_RS13060,1.3e-80,277.6,NC_022873,214,0.986175115207373
ANT6,Bacterial genome,YBT1518_RS11065,1.6e-83,287.7,NC_022873,279,0.96875
ClassB,Bacterial genome,YBT020_RS17110,2e-80,277.8,NC_017200,255,0.965909090909091
tetQ,Bacterial genome,YBT020_RS15375,2.8e-133,453.3,NC_017200,642,0.977168949771689
ClassA,Bacterial genome,YBT020_RS13000,3.9e-106,362.2,NC_017200,271,0.921768707482993
tetA,Bacterial genome,YBT020_RS12855,7.6e-90,309.4,NC_017200,391,0.963054187192118
CAT,Bacterial genome,YBT020_RS12580,6.7e-84,288.3,NC_017200,214,0.986175115207373
ANT6,Bacterial genome,YBT020_RS10605,1.1e-82,284.9,NC_017200,279,0.96875
tetA,Bacterial genome,Y193_RS11440,6.5e-88,303,NZ_CP007600,389,0.958128078817734
adeB,Bacterial genome,XOO_RS13820,0,1233.8,NC_006834,1035,1
ClassA,Bacterial genome,XOO_RS06660,9.5e-88,301.9,NC_006834,271,0.921768707482993
tolC,Bacterial genome,XOO_RS04470,1.5e-79,275.7,NC_006834,440,1.00227790432802
CAT,Bacterial genome,XNR_RS25485,1.4e-70,244.8,NC_020990,208,0.95852534562212
strA,Bacterial genome,XNR_RS16275,2.1e-74,257.9,NC_020990,254,0.951310861423221
ClassA,Bacterial genome,XNR_RS11745,9.5e-99,338,NC_020990,286,0.972789115646258
tolC,Bacterial genome,XNC1_RS17260,1.5e-134,456.9,NC_014228,434,0.988610478359909
adeB,Bacterial genome,XNC1_RS04030,0,1416.4,NC_014228,1045,1.00966183574879
tolC,Bacterial genome,XFASM23_RS10420,2.1e-83,288.4,NC_010577,439,1
adeB,Bacterial genome,XFASM23_RS04130,0,1219.1,NC_010577,1036,1.00096618357488
tolC,Bacterial genome,XF_RS11265,4.5e-84,290.6,NC_002488,439,1
adeB,Bacterial genome,XF_RS09095,0,1221.5,NC_002488,1033,0.998067632850242
tolC,Bacterial genome,XCSCFBP4642_RS0116890,1.7e-82,285.4,NZ_CM002139,437,0.995444191343964
ClassA,Bacterial genome,XCSCFBP4642_RS0114330,3.5e-90,309.8,NZ_CM002139,267,0.908163265306122
adeB,Bacterial genome,XCSCFBP4642_RS0113250,0,1246.4,NZ_CM002139,1035,1
tetA,Bacterial genome,XCSCFBP4642_RS0100505,7.5e-98,335.7,NZ_CM002139,380,0.935960591133005
CAT,Bacterial genome,XCEL_RS16630,2.9e-57,201.3,NC_013530,209,0.963133640552995
tetA,Bacterial genome,XCCB100_RS21260,6.2e-96,329.4,NC_010688,379,0.933497536945813
adeB,Bacterial genome,XCCB100_RS08655,0,1246.1,NC_010688,1033,0.998067632850242
adeB,Bacterial genome,XCCB100_RS07050,0,1472.7,NC_010688,1031,0.996135265700483
tolC,Bacterial genome,XCCB100_RS04130,4.5e-81,280.7,NC_010688,437,0.995444191343964
intI,Bacterial genome,XCCB100_RS01740,8.3e-145,489.4,NC_010688,315,0.987460815047022
tetA,Bacterial genome,XCC4156_NA,6.2e-96,329.4,NC_003902,379,0.933497536945813
tolC,Bacterial genome,XCC3336_NA,5.3e-82,283.8,NC_003902,437,0.995444191343964
adeB,Bacterial genome,XCC2682_NA,0,1476.3,NC_003902,1031,0.996135265700483
adeB,Bacterial genome,XCC2368_NA,0,1246.1,NC_003902,1031,0.996135265700483
intI,Bacterial genome,XCC0344_NA,1.8e-142,481.7,NC_003902,315,0.987460815047022
tetA,Bacterial genome,XC_RS21495,1.3e-96,331.7,NC_007086,379,0.933497536945813
adeB,Bacterial genome,XC_RS08755,0,1246.1,NC_007086,1031,0.996135265700483
adeB,Bacterial genome,XC_RS07165,0,1476.3,NC_007086,1031,0.996135265700483
tolC,Bacterial genome,XC_RS04170,5.3e-82,283.8,NC_007086,437,0.995444191343964
intI,Bacterial genome,XC_RS01795,1.8e-142,481.7,NC_007086,315,0.987460815047022
ClassC,Bacterial genome,XBJ1_RS16465,3.7e-168,566.9,NC_013892,386,1.0025974025974
ClassA,Bacterial genome,XBJ1_RS09745,5.7e-105,358.4,NC_013892,281,0.95578231292517
tolC,Bacterial genome,XBJ1_RS07760,1e-138,470.7,NC_013892,433,0.986332574031891
adeB,Bacterial genome,XBJ1_RS06955,0,1410.8,NC_013892,1044,1.00869565217391
adeB,Bacterial genome,XAUT_RS01620,0,1038.8,NC_009720,1039,1.00386473429952
ClassC,Bacterial genome,X971_RS14400,2.5e-151,511.5,NZ_CP007226,374,0.971428571428571
adeB,Bacterial genome,X971_RS12045,0,1344.7,NZ_CP007225,1024,0.989371980676328
adeB,Bacterial genome,X971_RS11585,0,1051.9,NZ_CP007225,1043,1.00772946859903
tolC,Bacterial genome,X970_RS22640,6.1e-91,313.2,NC_023076,425,0.968109339407745
adeB,Bacterial genome,X970_RS20135,0,1429.6,NC_023076,1032,0.997101449275362
adeB,Bacterial genome,X970_RS13310,0,1430.5,NC_023076,1023,0.988405797101449
adeB,Bacterial genome,X970_RS13170,0,1032.5,NC_023076,1044,1.00869565217391
mexE,Bacterial genome,X970_RS13165,1.3e-192,648.1,NC_023076,412,0.995169082125604
ClassC,Bacterial genome,X970_RS11150,1.4e-144,489.3,NC_023076,370,0.961038961038961
adeB,Bacterial genome,X970_RS10430,0,1334.3,NC_023076,1035,1
tolC,Bacterial genome,X970_RS08355,1.8e-88,305.1,NC_023076,428,0.9749430523918
tolC,Bacterial genome,X969_RS22975,6.1e-91,313.2,NC_023075,425,0.968109339407745
adeB,Bacterial genome,X969_RS20475,0,1429.6,NC_023075,1032,0.997101449275362
adeB,Bacterial genome,X969_RS13645,0,1430.5,NC_023075,1023,0.988405797101449
adeB,Bacterial genome,X969_RS13505,0,1032.5,NC_023075,1044,1.00869565217391
mexE,Bacterial genome,X969_RS13500,1.3e-192,648.1,NC_023075,412,0.995169082125604
ClassC,Bacterial genome,X969_RS11470,1.4e-144,489.3,NC_023075,370,0.961038961038961
tolC,Bacterial genome,X969_RS08670,1.8e-88,305.1,NC_023075,428,0.9749430523918
tetQ,Bacterial genome,X809_RS26155,1.1e-76,266.3,NC_023037,602,0.916286149162861
ANT6,Bacterial genome,X809_RS11155,1.7e-72,251.6,NC_023037,278,0.965277777777778
tetA,Bacterial genome,X809_RS09215,8.1e-94,322.5,NC_023037,393,0.967980295566502
ClassB,Plasmid,WP_051909963.1,6e-56,193.3,NZ_HG938354.1,263,0.996212121212121
tetA,Plasmid,WP_042446635.1,1.9e-104,353.2,NC_013859.1,383,0.943349753694581
ClassC,Plasmid,WP_041733328.1,3.4e-158,529.8,NC_016626.1,368,0.955844155844156
adeB,Plasmid,WP_040137972.1,0,1460.2,NZ_CP007797.1,1029,0.994202898550725
ClassA,Plasmid,WP_040136014.1,1.2e-99,336.6,NZ_CP007795.1,267,0.908163265306122
ClassA,Plasmid,WP_040133438.1,2.4e-77,263.5,NC_021976.1,267,0.908163265306122
repA,Plasmid,WP_040118530.1,1.6e-96,325.6,NZ_CP008843.1,225,0.941422594142259
adeB,Plasmid,WP_038497049.1,0,1308.2,NZ_CP007227.1,1038,1.00289855072464
adeB,Plasmid,WP_029306394.1,0,1020.4,NC_007974.2,1033,0.998067632850242
adeB,Plasmid,WP_028861668.1,0,1434.1,NZ_CM002756.1,1037,1.00193236714976
adeB,Plasmid,WP_028854303.1,0,1435.4,NZ_CM002758.1,1037,1.00193236714976
