RefSoil ID,Taxon ID,Kingdom,Phylum,Organism,Contains.plasmid,length.phy,Source,NCBI.ID
RefSoil_1,511145,Bacteria,Gammaproteobacteria,Escherichia coli str. K-12 substr. MG1655,FALSE,193,NCBI.ID,NC_000913
RefSoil_2,272947,Bacteria,Alphaproteobacteria,Rickettsia prowazekii str. Madrid E,FALSE,124,NCBI.ID,NC_000963
RefSoil_3,224308,Bacteria,Firmicutes,Bacillus subtilis subsp. subtilis str. 168,FALSE,206,NCBI.ID,NC_000964
RefSoil_4,243230,Bacteria,Deinococcus-Thermus,Deinococcus radiodurans R1,TRUE,6,NCBI.ID,NC_001263
RefSoil_5,160492,Bacteria,Gammaproteobacteria,Xylella fastidiosa 9a5c,TRUE,193,NCBI.ID,NC_002488
RefSoil_6,208964,Bacteria,Gammaproteobacteria,Pseudomonas aeruginosa PAO1,FALSE,193,NCBI.ID,NC_002516
RefSoil_7,272558,Bacteria,Firmicutes,Bacillus halodurans C-125,FALSE,206,NCBI.ID,NC_002570
RefSoil_8,273075,Archaea,Euryarchaeota,Thermoplasma acidophilum DSM 1728,FALSE,25,NCBI.ID,NC_002578
RefSoil_9,266835,Bacteria,Alphaproteobacteria,Mesorhizobium loti MAFF303099,TRUE,124,NCBI.ID,NC_002678
RefSoil_10,273116,Archaea,Euryarchaeota,Thermoplasma volcanium GSS1,FALSE,25,NCBI.ID,NC_002689
RefSoil_11,257310,Bacteria,Betaproteobacteria,Bordetella bronchiseptica RB50,FALSE,91,NCBI.ID,NC_002927
RefSoil_12,243164,Bacteria,Chloroflexi,Dehalococcoides mccartyi 195,FALSE,9,NCBI.ID,NC_002936
RefSoil_13,882,Bacteria,Deltaproteobacteria,Desulfovibrio vulgaris str. Hildenborough,TRUE,39,NCBI.ID,NC_002937
RefSoil_14,243231,Bacteria,Deltaproteobacteria,Geobacter sulfurreducens PCA,FALSE,39,NCBI.ID,NC_002939
RefSoil_15,262316,Bacteria,Actinobacteria,Mycobacterium avium subsp. paratuberculosi,FALSE,117,NCBI.ID,NC_002944
RefSoil_16,227377,Bacteria,Gammaproteobacteria,Coxiella burnetii RSA 493,TRUE,193,NCBI.ID,NC_002971
RefSoil_17,265669,Bacteria,Firmicutes,Listeria monocytogenes serotype 4b str. F2365,FALSE,206,NCBI.ID,NC_002973
RefSoil_18,272562,Bacteria,Firmicutes,Clostridium acetobutylicum ATCC 824,TRUE,206,NCBI.ID,NC_003030
RefSoil_19,176299,Bacteria,Alphaproteobacteria,Agrobacterium fabrum str. C58,TRUE,124,NCBI.ID,NC_003062
RefSoil_20,227882,Bacteria,Actinobacteria,Streptomyces avermitilis MA-4680,TRUE,117,NCBI.ID,NC_003155
RefSoil_21,99287,Bacteria,Gammaproteobacteria,Salmonella enterica subsp. enterica serova,TRUE,193,NCBI.ID,NC_003197
RefSoil_22,272626,Bacteria,Firmicutes,Listeria innocua Clip11262,TRUE,206,NCBI.ID,NC_003212
RefSoil_23,103690,Bacteria,Cyanobacteria,Nostoc sp. PCC 7120,TRUE,27,NCBI.ID,NC_003272
RefSoil_24,267608,Bacteria,Betaproteobacteria,Ralstonia solanacearum GMI1000,TRUE,91,NCBI.ID,NC_003295
RefSoil_25,227941,Bacteria,Chlamydiae,Chlamydophila caviae GPIC,TRUE,3,NCBI.ID,NC_003361
RefSoil_26,195102,Bacteria,Firmicutes,Clostridium perfringens str. 13,TRUE,206,NCBI.ID,NC_003366
RefSoil_27,188937,Archaea,Euryarchaeota,Methanosarcina acetivorans C2A,FALSE,25,NCBI.ID,NC_003552
RefSoil_28,192952,Archaea,Euryarchaeota,Methanosarcina mazei Go1,FALSE,25,NCBI.ID,NC_003901
RefSoil_29,190485,Bacteria,Gammaproteobacteria,Xanthomonas campestris pv. campestris str. ATC,FALSE,193,NCBI.ID,NC_003902
RefSoil_30,222523,Bacteria,Firmicutes,Bacillus cereus ATCC 10987,TRUE,206,NCBI.ID,NC_003909
RefSoil_31,198094,Bacteria,Firmicutes,Bacillus anthracis str. Ames,FALSE,206,NCBI.ID,NC_003997
RefSoil_32,220664,Bacteria,Gammaproteobacteria,Pseudomonas protegens Pf-5,FALSE,193,NCBI.ID,NC_004129
